Stream,Course,Job,Skills Required,Duration,Post Graduation
Arts,BA in Political Science,Journalist,"Writing Skills, Ability to Craft Arguments",4 years,MSW (Master of Social Work)
Arts,BA in Sociology,Historian,"Creativity, Design Skills",5 years,MA in Psychology
Arts,BA in English,Historian,"Research, Knowledge of Political Theories",4 years,MA in History
Arts,Fashion Design,Historian,"Creativity, Design Skills",5 years,MA in Sociology
Arts,Fashion Design,Journalist,"Writing Skills, Ability to Craft Arguments",3 years,MA in Political Science
Arts,BA in History,Fashion Designer,"Creativity, Design Skills",3 years,Journalism PG
Arts,Journalism,Historian,"Communication, Public Speaking",2 years,MA in Political Science
Arts,Journalism,Sociologist,"Communication, Public Speaking",2 years,MA in History
Arts,BA in Political Science,Political Analyst,"Creativity, Design Skills",4 years,MA in History
Arts,Fashion Design,Content Writer,"Research, Knowledge of Political Theories",2 years,Fashion Design PG
Arts,BA in English,Journalist,"Writing Skills, Ability to Craft Arguments",4 years,MA in Sociology
Arts,BA in History,Sociologist,"Communication, Public Speaking",4 years,MSW (Master of Social Work)
Arts,BA in History,Sociologist,"Research, Knowledge of Political Theories",2 years,MA in Political Science
Arts,Fashion Design,Sociologist,"Writing Skills, Ability to Craft Arguments",4 years,MFA
Arts,BA in History,Fashion Designer,"Research, Knowledge of Political Theories",5 years,MA in Psychology
Arts,Fashion Design,Content Writer,"Research, Knowledge of Political Theories",4 years,MA in Sociology
Arts,Fashion Design,Sociologist,"Writing Skills, Ability to Craft Arguments",2 years,MA in History
Arts,Journalism,Journalist,"Research, Knowledge of Political Theories",2 years,MA in Sociology
Arts,BA in English,Sociologist,"Artistic Talent, Fashion Design Techniques",4 years,MA in Psychology
Arts,Journalism,Fashion Designer,"Communication, Public Speaking",3 years,Journalism PG
Arts,BA in Psychology,Political Analyst,"Critical Thinking, Understanding of History and Culture",4 years,MSW (Master of Social Work)
Arts,BA in English,Historian,"Critical Thinking, Understanding of History and Culture",4 years,MFA
Arts,BA in Sociology,Content Writer,"Communication, Public Speaking",4 years,MSW (Master of Social Work)
Arts,Journalism,Sociologist,"Creativity, Design Skills",3 years,MA in Sociology
Arts,BA in Political Science,Psychologist,"Artistic Talent, Fashion Design Techniques",5 years,MA in Psychology
Arts,BA in English,Sociologist,"Research, Knowledge of Political Theories",4 years,Journalism PG
Arts,BA in English,Sociologist,"Critical Thinking, Understanding of History and Culture",2 years,Journalism PG
Arts,BA in History,Sociologist,"Research, Knowledge of Political Theories",5 years,MA in Psychology
Arts,Fine Arts,Historian,"Critical Thinking, Understanding of History and Culture",2 years,MA in Sociology
Arts,Fine Arts,Historian,"Communication, Public Speaking",5 years,MFA
Arts,BA in History,Sociologist,"Artistic Talent, Fashion Design Techniques",4 years,MA in Political Science
Arts,BA in History,Sociologist,"Critical Thinking, Understanding of History and Culture",3 years,MSW (Master of Social Work)
Arts,Journalism,Content Writer,"Creativity, Design Skills",5 years,MA in Sociology
Arts,BA in History,Fashion Designer,"Critical Thinking, Understanding of History and Culture",5 years,MA in Political Science
Arts,Fine Arts,Political Analyst,"Critical Thinking, Understanding of History and Culture",3 years,MA in Political Science
Arts,BA in Political Science,Journalist,"Writing Skills, Ability to Craft Arguments",4 years,Journalism PG
Arts,Journalism,Historian,"Research, Knowledge of Political Theories",3 years,MFA
Arts,BA in History,Content Writer,"Creativity, Design Skills",5 years,MA in History
Arts,BA in History,Journalist,"Research, Knowledge of Political Theories",3 years,MSW (Master of Social Work)
Arts,BA in Political Science,Sociologist,"Communication, Public Speaking",3 years,MSW (Master of Social Work)
Arts,Fashion Design,Fashion Designer,"Critical Thinking, Understanding of History and Culture",5 years,Journalism PG
Arts,BA in English,Journalist,"Communication, Public Speaking",2 years,MA in Psychology
Arts,Fine Arts,Fashion Designer,"Critical Thinking, Understanding of History and Culture",5 years,Journalism PG
Arts,Fashion Design,Journalist,"Artistic Talent, Fashion Design Techniques",4 years,MA in Political Science
Arts,BA in History,Historian,"Research, Knowledge of Political Theories",2 years,Journalism PG
Arts,Fashion Design,Content Writer,"Critical Thinking, Understanding of History and Culture",3 years,Journalism PG
Arts,Journalism,Journalist,"Artistic Talent, Fashion Design Techniques",4 years,MA in Political Science
Arts,BA in History,Historian,"Research, Knowledge of Political Theories",3 years,Journalism PG
Arts,BA in Sociology,Journalist,"Artistic Talent, Fashion Design Techniques",3 years,MA in Sociology
Arts,BA in Sociology,Historian,"Critical Thinking, Understanding of History and Culture",3 years,MA in Psychology
Arts,BA in Sociology,Historian,"Artistic Talent, Fashion Design Techniques",4 years,MA in Political Science
Arts,Fine Arts,Fashion Designer,"Writing Skills, Ability to Craft Arguments",3 years,Journalism PG
Arts,BA in History,Fashion Designer,"Communication, Public Speaking",2 years,Journalism PG
Arts,Journalism,Fashion Designer,"Creativity, Design Skills",4 years,MSW (Master of Social Work)
Arts,BA in History,Sociologist,"Research, Knowledge of Political Theories",2 years,Journalism PG
Arts,Fashion Design,Sociologist,"Critical Thinking, Understanding of History and Culture",3 years,MFA
Arts,Fine Arts,Psychologist,"Research, Knowledge of Political Theories",5 years,MSW (Master of Social Work)
Arts,Fine Arts,Historian,"Writing Skills, Ability to Craft Arguments",3 years,MA in Psychology
Arts,BA in History,Fashion Designer,"Research, Knowledge of Political Theories",2 years,Fashion Design PG
Arts,BA in Political Science,Journalist,"Artistic Talent, Fashion Design Techniques",5 years,MA in Psychology
Arts,Fine Arts,Journalist,"Communication, Public Speaking",5 years,Fashion Design PG
Arts,Fashion Design,Content Writer,"Creativity, Design Skills",2 years,MA in Psychology
Arts,BA in Political Science,Political Analyst,"Research, Knowledge of Political Theories",2 years,MSW (Master of Social Work)
Arts,BA in Political Science,Psychologist,"Communication, Public Speaking",2 years,MA in Psychology
Arts,BA in English,Historian,"Writing Skills, Ability to Craft Arguments",5 years,Fashion Design PG
Arts,Fine Arts,Psychologist,"Communication, Public Speaking",4 years,Fashion Design PG
Arts,BA in Psychology,Historian,"Communication, Public Speaking",4 years,MA in History
Arts,BA in Political Science,Historian,"Creativity, Design Skills",3 years,MSW (Master of Social Work)
Arts,BA in Political Science,Sociologist,"Writing Skills, Ability to Craft Arguments",5 years,MFA
Arts,BA in History,Psychologist,"Creativity, Design Skills",5 years,Journalism PG
Arts,Journalism,Political Analyst,"Creativity, Design Skills",4 years,MA in Psychology
Arts,BA in Psychology,Fashion Designer,"Writing Skills, Ability to Craft Arguments",3 years,MSW (Master of Social Work)
Arts,BA in English,Psychologist,"Critical Thinking, Understanding of History and Culture",5 years,MA in Political Science
Arts,Journalism,Historian,"Communication, Public Speaking",5 years,MA in Political Science
Arts,Fine Arts,Content Writer,"Artistic Talent, Fashion Design Techniques",5 years,MFA
Arts,BA in Political Science,Political Analyst,"Communication, Public Speaking",3 years,MA in Political Science
Arts,Journalism,Historian,"Creativity, Design Skills",4 years,MA in Sociology
Arts,Journalism,Fashion Designer,"Creativity, Design Skills",5 years,MA in History
Arts,Fine Arts,Content Writer,"Writing Skills, Ability to Craft Arguments",3 years,MA in History
Arts,Journalism,Sociologist,"Artistic Talent, Fashion Design Techniques",5 years,MA in History
Arts,BA in English,Political Analyst,"Creativity, Design Skills",5 years,Fashion Design PG
Arts,BA in English,Sociologist,"Artistic Talent, Fashion Design Techniques",3 years,Fashion Design PG
Arts,BA in Psychology,Psychologist,"Critical Thinking, Understanding of History and Culture",2 years,MA in History
Arts,Journalism,Political Analyst,"Creativity, Design Skills",3 years,MA in Psychology
Arts,Fine Arts,Fashion Designer,"Research, Knowledge of Political Theories",2 years,MSW (Master of Social Work)
Arts,BA in History,Fashion Designer,"Communication, Public Speaking",2 years,MA in Political Science
Arts,BA in History,Psychologist,"Artistic Talent, Fashion Design Techniques",3 years,MA in History
Arts,BA in English,Psychologist,"Critical Thinking, Understanding of History and Culture",3 years,MA in Sociology
Arts,BA in Psychology,Journalist,"Critical Thinking, Understanding of History and Culture",5 years,Fashion Design PG
Arts,BA in Sociology,Fashion Designer,"Communication, Public Speaking",2 years,MA in Political Science
Arts,BA in Political Science,Psychologist,"Research, Knowledge of Political Theories",5 years,MFA
Arts,BA in English,Content Writer,"Artistic Talent, Fashion Design Techniques",2 years,Journalism PG
Arts,BA in Sociology,Journalist,"Critical Thinking, Understanding of History and Culture",4 years,MA in History
Arts,BA in Political Science,Historian,"Research, Knowledge of Political Theories",4 years,Journalism PG
Arts,BA in History,Fashion Designer,"Writing Skills, Ability to Craft Arguments",5 years,MA in Political Science
Arts,BA in Psychology,Content Writer,"Critical Thinking, Understanding of History and Culture",3 years,Journalism PG
Arts,BA in Psychology,Fashion Designer,"Research, Knowledge of Political Theories",3 years,MA in Political Science
Arts,Journalism,Psychologist,"Communication, Public Speaking",2 years,MFA
Arts,Journalism,Journalist,"Critical Thinking, Understanding of History and Culture",2 years,MA in Sociology
Arts,BA in English,Journalist,"Creativity, Design Skills",4 years,Journalism PG
Arts,Fine Arts,Political Analyst,"Communication, Public Speaking",3 years,Journalism PG
Arts,BA in Psychology,Content Writer,"Critical Thinking, Understanding of History and Culture",5 years,MA in History
Arts,Fashion Design,Historian,"Communication, Public Speaking",5 years,Fashion Design PG
Arts,Journalism,Psychologist,"Artistic Talent, Fashion Design Techniques",5 years,MA in History
Arts,BA in Political Science,Journalist,"Writing Skills, Ability to Craft Arguments",4 years,MA in Political Science
Arts,BA in Political Science,Content Writer,"Creativity, Design Skills",5 years,Journalism PG
Arts,Fashion Design,Political Analyst,"Artistic Talent, Fashion Design Techniques",3 years,MA in Sociology
Arts,Journalism,Psychologist,"Writing Skills, Ability to Craft Arguments",4 years,MA in Sociology
Arts,Fashion Design,Content Writer,"Artistic Talent, Fashion Design Techniques",3 years,MA in Psychology
Arts,Fashion Design,Political Analyst,"Research, Knowledge of Political Theories",5 years,Journalism PG
Arts,Fine Arts,Political Analyst,"Communication, Public Speaking",4 years,Journalism PG
Arts,BA in English,Psychologist,"Critical Thinking, Understanding of History and Culture",2 years,Fashion Design PG
Arts,BA in Political Science,Political Analyst,"Writing Skills, Ability to Craft Arguments",3 years,MA in History
Arts,BA in Sociology,Journalist,"Research, Knowledge of Political Theories",2 years,MA in Sociology
Arts,BA in Sociology,Historian,"Critical Thinking, Understanding of History and Culture",4 years,Fashion Design PG
Arts,BA in History,Sociologist,"Writing Skills, Ability to Craft Arguments",4 years,MA in Sociology
Arts,BA in History,Psychologist,"Critical Thinking, Understanding of History and Culture",5 years,MSW (Master of Social Work)
Arts,Journalism,Psychologist,"Creativity, Design Skills",3 years,Fashion Design PG
Arts,BA in Sociology,Historian,"Research, Knowledge of Political Theories",4 years,MFA
Arts,BA in History,Political Analyst,"Writing Skills, Ability to Craft Arguments",4 years,MA in History
Arts,Fine Arts,Political Analyst,"Communication, Public Speaking",3 years,MSW (Master of Social Work)
Arts,Fashion Design,Political Analyst,"Writing Skills, Ability to Craft Arguments",5 years,MSW (Master of Social Work)
Arts,Fine Arts,Fashion Designer,"Creativity, Design Skills",2 years,MFA
Arts,Fashion Design,Sociologist,"Writing Skills, Ability to Craft Arguments",2 years,MA in Sociology
Arts,BA in Psychology,Historian,"Artistic Talent, Fashion Design Techniques",3 years,Fashion Design PG
Arts,Fine Arts,Historian,"Research, Knowledge of Political Theories",4 years,MA in Psychology
Arts,Journalism,Political Analyst,"Research, Knowledge of Political Theories",3 years,MA in Political Science
Arts,BA in Psychology,Content Writer,"Communication, Public Speaking",2 years,MA in Sociology
Arts,Fine Arts,Psychologist,"Writing Skills, Ability to Craft Arguments",4 years,Fashion Design PG
Arts,BA in History,Content Writer,"Critical Thinking, Understanding of History and Culture",5 years,MSW (Master of Social Work)
Arts,Fine Arts,Fashion Designer,"Critical Thinking, Understanding of History and Culture",5 years,MA in Sociology
Arts,BA in English,Fashion Designer,"Writing Skills, Ability to Craft Arguments",4 years,MA in History
Arts,BA in Political Science,Political Analyst,"Critical Thinking, Understanding of History and Culture",3 years,MA in Psychology
Arts,Fashion Design,Journalist,"Artistic Talent, Fashion Design Techniques",5 years,Fashion Design PG
Arts,Fine Arts,Psychologist,"Writing Skills, Ability to Craft Arguments",5 years,MA in Psychology
Arts,BA in Sociology,Political Analyst,"Writing Skills, Ability to Craft Arguments",4 years,MFA
Arts,Fashion Design,Psychologist,"Artistic Talent, Fashion Design Techniques",5 years,MA in Sociology
Arts,BA in History,Psychologist,"Critical Thinking, Understanding of History and Culture",5 years,MA in Psychology
Arts,BA in Psychology,Journalist,"Creativity, Design Skills",5 years,MA in Political Science
Arts,BA in English,Historian,"Critical Thinking, Understanding of History and Culture",2 years,Fashion Design PG
Arts,BA in Political Science,Psychologist,"Writing Skills, Ability to Craft Arguments",5 years,MA in Sociology
Arts,BA in Political Science,Political Analyst,"Artistic Talent, Fashion Design Techniques",2 years,MA in History
Arts,BA in History,Sociologist,"Critical Thinking, Understanding of History and Culture",4 years,Journalism PG
Arts,BA in Political Science,Content Writer,"Writing Skills, Ability to Craft Arguments",3 years,MA in Psychology
Arts,Fine Arts,Content Writer,"Research, Knowledge of Political Theories",2 years,MFA
Arts,Journalism,Fashion Designer,"Creativity, Design Skills",5 years,MA in Psychology
Arts,Fashion Design,Psychologist,"Communication, Public Speaking",3 years,MA in Political Science
Arts,Fine Arts,Political Analyst,"Artistic Talent, Fashion Design Techniques",4 years,MSW (Master of Social Work)
Arts,BA in English,Fashion Designer,"Creativity, Design Skills",2 years,MA in History
Arts,BA in Psychology,Content Writer,"Research, Knowledge of Political Theories",3 years,MA in Sociology
Arts,BA in Political Science,Psychologist,"Communication, Public Speaking",3 years,Journalism PG
Arts,Fine Arts,Journalist,"Creativity, Design Skills",5 years,Journalism PG
Arts,BA in History,Sociologist,"Research, Knowledge of Political Theories",5 years,MSW (Master of Social Work)
Arts,BA in History,Sociologist,"Critical Thinking, Understanding of History and Culture",5 years,MA in Psychology
Arts,BA in Sociology,Historian,"Critical Thinking, Understanding of History and Culture",5 years,Fashion Design PG
Arts,BA in Political Science,Journalist,"Communication, Public Speaking",4 years,Fashion Design PG
Arts,BA in English,Sociologist,"Writing Skills, Ability to Craft Arguments",4 years,MA in Psychology
Arts,Fashion Design,Content Writer,"Research, Knowledge of Political Theories",2 years,Fashion Design PG
Arts,Fashion Design,Psychologist,"Critical Thinking, Understanding of History and Culture",5 years,MA in Political Science
Arts,Fine Arts,Historian,"Critical Thinking, Understanding of History and Culture",3 years,MA in History
Arts,Fine Arts,Fashion Designer,"Creativity, Design Skills",2 years,MA in Psychology
Arts,BA in Political Science,Sociologist,"Research, Knowledge of Political Theories",5 years,MA in Psychology
Arts,BA in Psychology,Political Analyst,"Artistic Talent, Fashion Design Techniques",2 years,Fashion Design PG
Arts,Fashion Design,Journalist,"Communication, Public Speaking",4 years,MA in Psychology
Arts,Journalism,Content Writer,"Writing Skills, Ability to Craft Arguments",3 years,MSW (Master of Social Work)
Arts,BA in Sociology,Historian,"Critical Thinking, Understanding of History and Culture",2 years,MA in Psychology
Arts,BA in Psychology,Content Writer,"Writing Skills, Ability to Craft Arguments",4 years,MFA
Arts,BA in History,Sociologist,"Writing Skills, Ability to Craft Arguments",4 years,MSW (Master of Social Work)
Arts,BA in Sociology,Content Writer,"Research, Knowledge of Political Theories",2 years,MA in Sociology
Arts,Fine Arts,Journalist,"Communication, Public Speaking",2 years,Fashion Design PG
Arts,BA in Sociology,Psychologist,"Creativity, Design Skills",3 years,MA in Political Science
Arts,Fine Arts,Historian,"Research, Knowledge of Political Theories",2 years,MFA
Arts,BA in English,Journalist,"Writing Skills, Ability to Craft Arguments",5 years,MA in History
Arts,Fashion Design,Journalist,"Creativity, Design Skills",2 years,MA in History
Arts,BA in Psychology,Political Analyst,"Artistic Talent, Fashion Design Techniques",3 years,MFA
Arts,BA in Psychology,Sociologist,"Critical Thinking, Understanding of History and Culture",2 years,MA in Sociology
Arts,BA in History,Political Analyst,"Communication, Public Speaking",5 years,MA in Psychology
Arts,BA in Sociology,Fashion Designer,"Research, Knowledge of Political Theories",4 years,MA in Political Science
Arts,BA in Sociology,Historian,"Creativity, Design Skills",4 years,MA in Psychology
Arts,BA in Sociology,Journalist,"Communication, Public Speaking",2 years,Fashion Design PG
Arts,Fashion Design,Journalist,"Writing Skills, Ability to Craft Arguments",3 years,MFA
Arts,Fashion Design,Fashion Designer,"Artistic Talent, Fashion Design Techniques",5 years,MA in Sociology
Arts,BA in History,Journalist,"Communication, Public Speaking",2 years,MA in Sociology
Arts,BA in Political Science,Journalist,"Artistic Talent, Fashion Design Techniques",3 years,MA in Political Science
Arts,BA in History,Journalist,"Critical Thinking, Understanding of History and Culture",2 years,Journalism PG
Arts,Journalism,Political Analyst,"Critical Thinking, Understanding of History and Culture",4 years,Journalism PG
Arts,BA in Sociology,Content Writer,"Creativity, Design Skills",5 years,MA in Psychology
Arts,BA in Sociology,Psychologist,"Communication, Public Speaking",2 years,MA in Political Science
Arts,BA in History,Psychologist,"Research, Knowledge of Political Theories",3 years,MSW (Master of Social Work)
Arts,Fine Arts,Content Writer,"Artistic Talent, Fashion Design Techniques",3 years,MA in Psychology
Arts,BA in Psychology,Content Writer,"Creativity, Design Skills",4 years,MA in History
Arts,BA in History,Journalist,"Artistic Talent, Fashion Design Techniques",4 years,MA in Political Science
Arts,Fine Arts,Political Analyst,"Creativity, Design Skills",2 years,MFA
Arts,Fine Arts,Journalist,"Research, Knowledge of Political Theories",2 years,Fashion Design PG
Arts,Fine Arts,Fashion Designer,"Critical Thinking, Understanding of History and Culture",2 years,Fashion Design PG
Arts,Fashion Design,Psychologist,"Creativity, Design Skills",3 years,MFA
Arts,Journalism,Sociologist,"Artistic Talent, Fashion Design Techniques",2 years,MSW (Master of Social Work)
Arts,Fashion Design,Historian,"Creativity, Design Skills",5 years,MA in Political Science
Arts,Journalism,Content Writer,"Research, Knowledge of Political Theories",3 years,Fashion Design PG
Arts,Fine Arts,Journalist,"Artistic Talent, Fashion Design Techniques",2 years,MA in Sociology
Arts,Fashion Design,Historian,"Research, Knowledge of Political Theories",4 years,MA in History
Arts,Fashion Design,Psychologist,"Artistic Talent, Fashion Design Techniques",5 years,MFA
Arts,BA in History,Journalist,"Communication, Public Speaking",4 years,MA in History
Arts,Fine Arts,Fashion Designer,"Critical Thinking, Understanding of History and Culture",3 years,MA in History
Arts,Fashion Design,Content Writer,"Research, Knowledge of Political Theories",5 years,Journalism PG
Arts,BA in Sociology,Sociologist,"Artistic Talent, Fashion Design Techniques",5 years,MA in Sociology
Arts,Fine Arts,Historian,"Writing Skills, Ability to Craft Arguments",3 years,MA in Psychology
Arts,BA in Sociology,Journalist,"Communication, Public Speaking",2 years,Journalism PG
Arts,BA in Political Science,Sociologist,"Research, Knowledge of Political Theories",3 years,MA in Political Science
Arts,Journalism,Psychologist,"Artistic Talent, Fashion Design Techniques",3 years,Journalism PG
Arts,BA in Political Science,Psychologist,"Creativity, Design Skills",4 years,Fashion Design PG
Arts,BA in History,Content Writer,"Writing Skills, Ability to Craft Arguments",5 years,MA in Psychology
Arts,Fashion Design,Psychologist,"Artistic Talent, Fashion Design Techniques",2 years,MA in Political Science
Arts,Fine Arts,Political Analyst,"Communication, Public Speaking",2 years,MA in Sociology
Arts,Fashion Design,Content Writer,"Creativity, Design Skills",5 years,Journalism PG
Arts,Fine Arts,Journalist,"Writing Skills, Ability to Craft Arguments",3 years,MA in Psychology
Arts,Fine Arts,Content Writer,"Critical Thinking, Understanding of History and Culture",2 years,MA in Sociology
Arts,Fine Arts,Content Writer,"Creativity, Design Skills",2 years,MA in Political Science
Arts,Journalism,Historian,"Communication, Public Speaking",3 years,MSW (Master of Social Work)
Arts,Fine Arts,Fashion Designer,"Research, Knowledge of Political Theories",5 years,Fashion Design PG
Arts,BA in Political Science,Political Analyst,"Critical Thinking, Understanding of History and Culture",4 years,Fashion Design PG
Arts,BA in English,Fashion Designer,"Research, Knowledge of Political Theories",5 years,MA in Psychology
Arts,BA in Psychology,Journalist,"Artistic Talent, Fashion Design Techniques",2 years,MA in History
Arts,Fashion Design,Content Writer,"Critical Thinking, Understanding of History and Culture",5 years,MSW (Master of Social Work)
Arts,BA in English,Political Analyst,"Communication, Public Speaking",2 years,MA in Political Science
Arts,BA in Sociology,Fashion Designer,"Artistic Talent, Fashion Design Techniques",3 years,MA in History
Arts,Fashion Design,Sociologist,"Critical Thinking, Understanding of History and Culture",2 years,MFA
Arts,BA in History,Historian,"Writing Skills, Ability to Craft Arguments",4 years,MSW (Master of Social Work)
Arts,BA in History,Political Analyst,"Artistic Talent, Fashion Design Techniques",3 years,MA in Psychology
Arts,BA in Sociology,Content Writer,"Communication, Public Speaking",5 years,MA in Sociology
Arts,Fine Arts,Political Analyst,"Research, Knowledge of Political Theories",4 years,MA in Psychology
Arts,BA in Sociology,Historian,"Writing Skills, Ability to Craft Arguments",4 years,MA in Sociology
Arts,Fashion Design,Political Analyst,"Communication, Public Speaking",2 years,MSW (Master of Social Work)
Arts,Fashion Design,Political Analyst,"Artistic Talent, Fashion Design Techniques",3 years,Journalism PG
Arts,BA in Political Science,Political Analyst,"Artistic Talent, Fashion Design Techniques",4 years,MSW (Master of Social Work)
Arts,BA in Political Science,Sociologist,"Creativity, Design Skills",2 years,MA in Political Science
Arts,BA in Psychology,Sociologist,"Artistic Talent, Fashion Design Techniques",5 years,Fashion Design PG
Arts,BA in Political Science,Historian,"Critical Thinking, Understanding of History and Culture",4 years,MA in Political Science
Arts,Fine Arts,Political Analyst,"Research, Knowledge of Political Theories",3 years,MFA
Arts,Fine Arts,Content Writer,"Critical Thinking, Understanding of History and Culture",3 years,MA in History
Arts,BA in Sociology,Sociologist,"Critical Thinking, Understanding of History and Culture",4 years,Fashion Design PG
Arts,Fashion Design,Fashion Designer,"Artistic Talent, Fashion Design Techniques",2 years,MFA
Arts,BA in English,Journalist,"Research, Knowledge of Political Theories",3 years,MA in Psychology
Arts,Journalism,Political Analyst,"Critical Thinking, Understanding of History and Culture",3 years,MA in Psychology
Arts,BA in Political Science,Journalist,"Communication, Public Speaking",5 years,Fashion Design PG
Arts,BA in Sociology,Political Analyst,"Communication, Public Speaking",3 years,Fashion Design PG
Arts,Fashion Design,Content Writer,"Critical Thinking, Understanding of History and Culture",5 years,MA in History
Arts,BA in Political Science,Political Analyst,"Critical Thinking, Understanding of History and Culture",2 years,MA in Political Science
Arts,BA in Sociology,Historian,"Writing Skills, Ability to Craft Arguments",5 years,MA in Sociology
Arts,BA in History,Psychologist,"Creativity, Design Skills",5 years,Fashion Design PG
Arts,BA in English,Fashion Designer,"Creativity, Design Skills",5 years,MA in Political Science
Arts,Journalism,Psychologist,"Critical Thinking, Understanding of History and Culture",2 years,MSW (Master of Social Work)
Arts,BA in Political Science,Journalist,"Critical Thinking, Understanding of History and Culture",2 years,Journalism PG
Arts,BA in English,Psychologist,"Writing Skills, Ability to Craft Arguments",4 years,MFA
Arts,BA in Political Science,Content Writer,"Artistic Talent, Fashion Design Techniques",3 years,MA in Psychology
Arts,BA in Psychology,Political Analyst,"Artistic Talent, Fashion Design Techniques",5 years,Journalism PG
Arts,Fashion Design,Journalist,"Critical Thinking, Understanding of History and Culture",2 years,MA in History
Arts,Journalism,Journalist,"Research, Knowledge of Political Theories",2 years,MA in Psychology
Arts,Fashion Design,Sociologist,"Communication, Public Speaking",2 years,MA in History
Arts,Journalism,Content Writer,"Research, Knowledge of Political Theories",5 years,MFA
Arts,BA in Sociology,Political Analyst,"Critical Thinking, Understanding of History and Culture",2 years,MFA
Arts,BA in English,Historian,"Research, Knowledge of Political Theories",2 years,MFA
Arts,BA in Sociology,Psychologist,"Critical Thinking, Understanding of History and Culture",4 years,Fashion Design PG
Arts,BA in Psychology,Content Writer,"Writing Skills, Ability to Craft Arguments",4 years,MSW (Master of Social Work)
Arts,Fine Arts,Psychologist,"Communication, Public Speaking",3 years,MA in Political Science
Arts,Journalism,Historian,"Communication, Public Speaking",3 years,MA in Psychology
Arts,Fashion Design,Sociologist,"Critical Thinking, Understanding of History and Culture",4 years,MSW (Master of Social Work)
Arts,BA in Sociology,Journalist,"Creativity, Design Skills",5 years,MSW (Master of Social Work)
Arts,BA in History,Fashion Designer,"Research, Knowledge of Political Theories",4 years,MA in Sociology
Arts,BA in Sociology,Historian,"Research, Knowledge of Political Theories",4 years,MFA
Arts,Journalism,Historian,"Critical Thinking, Understanding of History and Culture",5 years,MA in Political Science
Arts,Fine Arts,Journalist,"Research, Knowledge of Political Theories",5 years,MA in Psychology
Arts,Fashion Design,Content Writer,"Critical Thinking, Understanding of History and Culture",3 years,Fashion Design PG
Arts,BA in English,Journalist,"Communication, Public Speaking",4 years,MA in Psychology
Arts,BA in History,Content Writer,"Communication, Public Speaking",3 years,MSW (Master of Social Work)
Arts,BA in History,Content Writer,"Artistic Talent, Fashion Design Techniques",5 years,MA in Psychology
