Class,Job Role,Department/Organization,Recruitment Process,Duration/Details
Science,Junior Engineer (Various Departments),"Public Works, Water Supply, Electricity",State or Central Recruitment Exams,-
Science,"Paramilitary Forces (CRPF, BSF, CISF)",Central Armed Police Forces,Written Exam + Physical Test,-
Science,Indian Coast Guard (Navik),Indian Coast Guard,Written Exam + Physical Test,-
Science,Bank Clerk (IBPS/SBI),Nationalized Banks,IBPS Clerk/SBI Clerk Exam,-
Science,Postal Assistant,India Post,SSC CHSL Exam,-
Science,Technical Apprentice in PSUs,"Public Sector Undertakings (IOCL, BHEL, etc.)",Written Exam for Technicians,-
Science,Junior Technician (ISRO/DRDO),Indian Space Research Organization/Defence Research,Written Exam + Skill Test,-
Science,Data Entry Operator (Central/State Govt.),Various Departments,SSC CHSL Exam,Typing Skills Required
Science,Junior Engineer (Defence Services),Indian Armed Forces,Written Exam,Technical roles
Science,Airport Authority of India (AAI) Junior Executive,Airports (Various),AAI Exam,-
Science,Railway Protection Force (RPF) Sub-Inspector,Indian Railways,Written Exam + Physical Test,-
