Job Title,Department/Ministry,Qualification Required,Age Limit,Experience Required,Job Location,Salary Range,Application Deadline,Selection Process,Career Path
Postman,Ministry of Finance,B.Com,30-38,2 years,Chennai,36986-61711 INR,23-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Audit Officer,Ministry of Environment,MBBS,28-37,1 years,Bhopal,45675-68001 INR,22-09-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
UPSC NDA,Ministry of Defense,12th Pass,28-35,5 years,New Delhi,44020-70773 INR,17-10-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Clerk,Ministry of Rural Development,10th Pass,26-35,3 years,New Delhi,33204-63470 INR,01-11-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Lecturer,Ministry of Environment,Master's Degree,24-36,2 years,Patna,37374-72539 INR,19-11-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Medical Officer,Ministry of Education,10th Pass,29-37,2 years,Ahmedabad,47459-77735 INR,11-09-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Data Entry Operator,Ministry of Finance,B.Sc,26-38,0 years,Guwahati,44605-79192 INR,19-10-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Gram Sevak,Ministry of Environment,B.Sc,24-39,4 years,Jaipur,35466-70528 INR,15-10-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Engineer,Ministry of Defense,B.Sc,24-37,3 years,Lucknow,47933-65446 INR,18-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Village Development Officer,Ministry of Rural Development,PhD,30-37,3 years,Kolkata,43815-74897 INR,22-10-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Nurse,Ministry of Agriculture,B.Com,24-40,5 years,Kolkata,34033-78454 INR,29-09-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Senior Resident,Ministry of Environment,MBBS,28-40,3 years,Guwahati,47436-68420 INR,18-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Bank PO,Ministry of Railways,M.Tech,25-37,2 years,Bangalore,46398-81304 INR,27-10-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
IRS Officer,Ministry of Home Affairs,B.Sc,27-38,5 years,Chandigarh,37738-72194 INR,04-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Gram Sevak,Ministry of Defense,Diploma,24-38,0 years,Mumbai,49369-61199 INR,11-11-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Agricultural Officer,Ministry of Science and Technology,MBBS,27-36,5 years,Guwahati,36233-66048 INR,24-09-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Public Prosecutor,Ministry of Education,B.Tech,27-35,3 years,Bhopal,35916-74675 INR,27-11-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Bank PO,Ministry of Health,PhD,29-37,3 years,Pune,41656-67501 INR,19-10-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Defense Officer,Ministry of Home Affairs,10th Pass,30-40,2 years,Patna,47942-85419 INR,22-09-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Mechanic,Ministry of Defense,12th Pass,22-39,0 years,Patna,34699-69346 INR,09-09-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Agricultural Officer,Ministry of Science and Technology,12th Pass,22-35,4 years,Bangalore,49377-74969 INR,14-10-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Audit Officer,Ministry of Defense,B.Sc,22-39,3 years,Kolkata,45747-69763 INR,07-11-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Senior Resident,Ministry of Rural Development,B.Tech,23-38,0 years,Chennai,41682-65880 INR,09-10-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
SSC CGL Officer,Ministry of Rural Development,10th Pass,26-36,2 years,Ahmedabad,33206-89347 INR,04-10-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
IAS Officer,Ministry of Finance,PhD,24-40,0 years,Hyderabad,45416-60294 INR,04-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Senior Resident,Ministry of Environment,B.Tech,29-40,4 years,Chandigarh,47619-88828 INR,13-11-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Scientist B,Ministry of Railways,PhD,23-36,4 years,Ahmedabad,36512-74929 INR,29-09-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
SSC CGL Officer,Ministry of Health,Bachelor's Degree,21-37,3 years,Patna,40393-64822 INR,08-11-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Junior Translator,Ministry of Environment,Bachelor's Degree,29-38,4 years,Jaipur,30390-84930 INR,22-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Audit Officer,Ministry of Rural Development,MBBS,28-37,5 years,Lucknow,32763-78017 INR,19-09-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Electrician,Ministry of Environment,Diploma,23-35,2 years,Guwahati,44349-76793 INR,24-09-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Railway Engineer,Ministry of Agriculture,B.Com,29-35,4 years,Bhopal,41216-75285 INR,30-10-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Village Development Officer,Ministry of Health,Master's Degree,29-35,2 years,Ahmedabad,37742-78228 INR,02-11-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Agricultural Officer,Ministry of Science and Technology,B.Sc,27-39,1 years,Bangalore,47802-72754 INR,04-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Assistant Engineer,Ministry of Environment,M.Sc,25-35,1 years,Chandigarh,40844-76192 INR,24-09-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Nurse,Ministry of Home Affairs,M.Tech,24-37,3 years,Bangalore,33670-62808 INR,25-10-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
IPS Officer,Ministry of Agriculture,MBBS,27-39,0 years,Chennai,37265-71729 INR,13-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
IPS Officer,Ministry of Railways,Diploma,24-37,3 years,Guwahati,49906-72115 INR,31-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Clerk,Ministry of Agriculture,M.Sc,28-38,5 years,Jaipur,35899-82407 INR,05-11-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Medical Officer,Ministry of Agriculture,M.Sc,21-38,5 years,Ranchi,45205-85886 INR,09-11-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
SSC CGL Officer,Ministry of Defense,Diploma,25-35,0 years,Guwahati,44575-76546 INR,05-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
SSC CGL Officer,Ministry of Science and Technology,B.Tech,22-36,5 years,Bhopal,31888-85944 INR,16-10-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Junior Translator,Ministry of Agriculture,MBBS,21-38,0 years,Kolkata,40082-75174 INR,01-11-2024,"Skill Test, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Electrician,Ministry of Finance,Diploma,26-38,3 years,Ranchi,48169-75633 INR,08-10-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Junior Engineer,Ministry of Education,B.Sc,24-37,3 years,Guwahati,31087-79046 INR,10-10-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
IPS Officer,Ministry of Railways,M.Tech,30-39,4 years,Bhopal,40797-87414 INR,01-10-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Lecturer,Ministry of Environment,M.Sc,28-38,2 years,Mumbai,35575-72947 INR,11-11-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Electrician,Ministry of Environment,M.Sc,21-35,0 years,Bangalore,36620-86785 INR,04-11-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
IAS Officer,Ministry of Rural Development,MBBS,28-40,1 years,Bhopal,42405-60086 INR,24-10-2024,"Skill Test, Interview",Internship > Junior Position > Senior Position > Management
Gram Sevak,Ministry of Health,Bachelor's Degree,27-40,2 years,Kolkata,40204-88189 INR,20-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Driver,Ministry of Railways,B.Sc,23-35,3 years,Jaipur,36370-68334 INR,05-10-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Veterinary Doctor,Ministry of Rural Development,12th Pass,22-36,3 years,Ahmedabad,43671-62162 INR,26-11-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Stenographer,Ministry of Science and Technology,B.Tech,29-36,1 years,Ranchi,39917-69422 INR,24-10-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Lecturer,Ministry of Rural Development,B.Sc,28-35,2 years,Kolkata,44705-67915 INR,19-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Junior Assistant,Ministry of Finance,MBBS,25-38,3 years,Ranchi,45110-65522 INR,23-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Stenographer,Ministry of Health,M.Sc,22-37,3 years,Chandigarh,36535-71074 INR,25-11-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Data Entry Operator,Ministry of Environment,B.Sc,23-40,1 years,Ranchi,35757-81440 INR,16-10-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Postman,Ministry of Home Affairs,B.Tech,22-38,2 years,Patna,41390-70825 INR,09-10-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
Agricultural Officer,Ministry of Defense,12th Pass,22-40,0 years,New Delhi,41792-71511 INR,03-11-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
IPS Officer,Ministry of Health,Bachelor's Degree,29-37,1 years,Jaipur,46411-69341 INR,02-11-2024,"Skill Test, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Postman,Ministry of Agriculture,Diploma,22-36,3 years,Guwahati,47534-66874 INR,23-09-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Fireman,Ministry of Defense,PhD,30-40,0 years,Ranchi,31125-76513 INR,29-09-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Senior Level > Department Head
Assistant Commandant,Ministry of Rural Development,Diploma,28-35,3 years,Kolkata,37315-77670 INR,02-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Lab Assistant,Ministry of Home Affairs,B.Tech,28-40,4 years,Lucknow,30981-77148 INR,13-11-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Lecturer,Ministry of Rural Development,10th Pass,21-35,3 years,Lucknow,45318-82934 INR,12-11-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Librarian,Ministry of Health,10th Pass,26-36,4 years,New Delhi,47234-79188 INR,26-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Railway Engineer,Ministry of Finance,Diploma,26-38,0 years,Hyderabad,44039-72611 INR,16-11-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Scientist B,Ministry of Rural Development,Master's Degree,27-36,0 years,New Delhi,42888-89465 INR,17-11-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
Fireman,Ministry of Defense,Diploma,24-40,3 years,Bangalore,31829-80143 INR,23-11-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Clerk,Ministry of Home Affairs,PhD,29-40,0 years,Pune,48814-89672 INR,15-10-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Clerk,Ministry of Science and Technology,Bachelor's Degree,24-38,0 years,Patna,46237-60776 INR,27-10-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Lab Assistant,Ministry of Environment,B.Com,29-39,4 years,Bangalore,43377-86777 INR,19-10-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Police Sub Inspector,Ministry of Agriculture,10th Pass,28-39,5 years,New Delhi,39426-65958 INR,12-10-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Police Sub Inspector,Ministry of Science and Technology,B.Com,21-36,1 years,Ahmedabad,45766-68827 INR,29-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Professor,Ministry of Environment,B.Com,26-36,1 years,Bangalore,31529-61177 INR,08-10-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Lecturer,Ministry of Finance,PhD,28-37,1 years,Patna,37398-76772 INR,22-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Police Sub Inspector,Ministry of Education,Master's Degree,25-36,3 years,Pune,45210-78510 INR,07-10-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Lecturer,Ministry of Railways,10th Pass,21-38,0 years,Hyderabad,40592-85592 INR,31-10-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Gram Sevak,Ministry of Environment,10th Pass,22-38,1 years,Guwahati,33839-71083 INR,15-09-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Assistant Professor,Ministry of Railways,Diploma,21-37,3 years,Hyderabad,33900-68439 INR,25-11-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
Stenographer,Ministry of Home Affairs,10th Pass,21-39,4 years,Pune,37377-87807 INR,23-09-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
IFS Officer,Ministry of Education,B.Tech,26-40,3 years,Bangalore,41105-80027 INR,08-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Mechanic,Ministry of Finance,Master's Degree,25-38,3 years,Ahmedabad,46737-65450 INR,21-10-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Forest Officer,Ministry of Agriculture,Bachelor's Degree,25-39,3 years,Mumbai,30990-75706 INR,11-11-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Gram Sevak,Ministry of Finance,Diploma,24-36,4 years,Lucknow,33565-63580 INR,10-10-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Assistant Professor,Ministry of Education,B.Com,30-37,4 years,Ahmedabad,46249-77047 INR,07-10-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Mechanic,Ministry of Science and Technology,M.Tech,21-40,4 years,Jaipur,30373-68041 INR,01-11-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Clerk,Ministry of Health,Master's Degree,26-40,4 years,New Delhi,43063-60312 INR,12-09-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Medical Officer,Ministry of Environment,B.Com,26-39,2 years,Chennai,36058-63663 INR,19-09-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Railway Engineer,Ministry of Environment,12th Pass,24-40,2 years,Jaipur,38746-82911 INR,10-09-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Junior Engineer,Ministry of Agriculture,12th Pass,27-37,1 years,Kolkata,42816-67203 INR,04-10-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Bank PO,Ministry of Science and Technology,10th Pass,27-36,3 years,Bangalore,36788-74836 INR,08-10-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Junior Engineer,Ministry of Rural Development,12th Pass,22-36,3 years,Bangalore,43882-67047 INR,19-10-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Audit Officer,Ministry of Agriculture,B.Tech,30-39,3 years,Ranchi,45867-81323 INR,25-11-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
IPS Officer,Ministry of Science and Technology,B.Tech,25-40,1 years,Chandigarh,45905-61515 INR,09-09-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
Police Sub Inspector,Ministry of Agriculture,10th Pass,23-38,4 years,Hyderabad,33716-68851 INR,29-10-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
IRS Officer,Ministry of Health,10th Pass,23-36,5 years,Pune,45081-67235 INR,18-09-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Teacher,Ministry of Science and Technology,12th Pass,28-38,5 years,Ranchi,36208-68309 INR,20-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
Senior Resident,Ministry of Science and Technology,Bachelor's Degree,29-38,4 years,Mumbai,36357-82043 INR,18-10-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Lecturer,Ministry of Environment,M.Tech,21-37,3 years,Bhopal,33555-61767 INR,23-10-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Lecturer,Ministry of Education,B.Sc,24-39,0 years,Lucknow,49706-69325 INR,12-09-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Mechanic,Ministry of Defense,Bachelor's Degree,30-36,2 years,Ranchi,49643-67770 INR,15-09-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
SSC CGL Officer,Ministry of Finance,M.Sc,27-37,5 years,New Delhi,43022-83946 INR,23-10-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Railway Engineer,Ministry of Rural Development,Bachelor's Degree,24-35,0 years,Chandigarh,36355-68757 INR,06-10-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Public Prosecutor,Ministry of Environment,B.Com,30-39,0 years,Ranchi,35884-73951 INR,25-11-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Fireman,Ministry of Science and Technology,B.Sc,29-37,4 years,Mumbai,35508-86935 INR,08-11-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Assistant Engineer,Ministry of Finance,M.Tech,24-38,0 years,Chandigarh,34923-71795 INR,19-11-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Audit Officer,Ministry of Home Affairs,M.Tech,26-36,3 years,Guwahati,39820-85157 INR,17-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Lab Assistant,Ministry of Rural Development,B.Sc,22-37,5 years,Bangalore,32471-64071 INR,16-09-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
IPS Officer,Ministry of Rural Development,Diploma,25-40,2 years,Ranchi,30956-63652 INR,30-09-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
IAS Officer,Ministry of Rural Development,Bachelor's Degree,22-39,0 years,Pune,34379-78330 INR,30-09-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Audit Officer,Ministry of Education,MBBS,26-38,3 years,New Delhi,44962-62169 INR,11-11-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Senior Level > Department Head
Nurse,Ministry of Railways,M.Sc,26-35,4 years,Mumbai,31812-62844 INR,15-11-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Senior Level > Department Head
